Ganne della Rossa;it;685973.1;132451.4;2271.408;r
Sende di Rosso;it;685962.2;154564.7;2228.563;r
Pizzo della Rossa;it;685644.321;132296.44;2482.466;r
Poncione del Rosso;it;683390.215;119462.785;2207.283;r
Pianca Rossa;it;682262.4;144208.8;2008.399;r
Sasso Rosso;it;679740.699;128292.011;2177.279;r
Balm da la Rossa;it;678809.2;125417.4;1399.589;r
Valle Rossa;it;677268.867;146447.388;2419.416;r
Corno Rosso;it;668370.226;142262.948;3288.587;r
Passo della Rossa;it;662868.775;133099.625;2473.096;r
Punta della Rossa;it;662362.297;132430.476;2887.14;r
Cima del Rosso;it;651900.299;107290.489;2624.426;r
Punta Terrarossa;it;649880.242;124099.51;3246.227;r
Bocchetta del Corno Rosso;it;639431.831;94123.101;3167.266;r
Colle Val Nera;it;806679.938;145698.476;2991.006;s
Sassa Nera;it;805365.701;135676.795;2858.036;s
Punta Nera;it;747635.332;152720.453;3027.194;s
Sasso Nero;it;716362.753;110400.74;957.839;s
Val Piode Nera;it;705941.821;140466.925;1458.687;s
Corona Nera;it;689088.934;134155.916;732.708;s
Bosco Nero;it;688818.6;136160.2;1518.648;s
Valle di Sasso Nero;it;686547.67;146031.886;2492.651;s
Passo del Sasso Nero;it;686373.598;147076.223;2419.724;s
Sasso Nero;it;686226.6;146592.779;2424.41;s
Pizzo del Ghiacciaio di Sasso Nero;it;685320.065;144725.598;2842.158;s
Bocchetta del Lago Nero;it;684656.414;145346.28;2563.366;s
Lago Nero;it;684588.891;144803.949;2388.068;s
Pizzo Nero;it;674656.244;149485.341;2903.739;s
Corno Nero;it;636417.031;94041.539;3609.398;s
Roccia Nera;it;626099.495;86844.337;4074.539;s
Motta Bianca;it;799363.093;144657.527;2560.585;w
Lago Bianco;it;798483.017;142562.812;2233.445;w
Paré Bianca;it;735796.3;136337.2;1500.417;w
Val del Bianch;it;735751.29;127350.344;1380.345;w
Tec Bianch;it;734850.257;128819.398;406.649;w
Rià del Bianch;it;729041.225;137461.834;1587.949;w
Cavallo Bianco;it;725897.834;143635.99;2815.914;w
